Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Vanhanlinnantie 3 F,60.21433179999999,25.0880759,3h+k+p,3,0,"77,5 m²",2011,1 282 €/kk 
Malminkatu 36 B,60.16808149999999,24.9255101,1h+kk,1,0,"34,5 m²",1928,851 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"35,5 m²",2023,1 049 €/kk 
Hitsaajankatu 9 C,60.19227919999999,25.029792,2h+kt,2,0,"44,5 m²",2019,1 004 €/kk 
Kivalterintie 20 B,60.2299707,24.9523065,2h + kk + kph,2,0,39 m²,1956,750 €/kk 
KONALANTIE 7 D,60.2281704,24.8517362,2h+kt,2,0,"38,5 m²",1974,875 €/kk 
Jauhajankuja 2 C,60.20522510000001,25.149715,2h+kt+p,2,0,"40,5 m²",2012,934 €/kk 
Lupajantie 2 A,60.23327849999999,25.1048068,2h+kt,2,0,"32,5 m²",2022,839 €/kk 
Haapaniemenkatu 11,60.17904109999999,24.959629,3H+K,3,0,78 m²,1979,1 520 €/kk 
Kellosilta 8b,60.20054099999999,24.937085,1H+KT,1,0,"29,5 m²",2023,878 €/kk 
Kontulantie 19,60.23706199999999,25.0962363,2H+KT,2,0,"54,5 m²",2016,960 €/kk 
Vuotie 47 C,60.207069,25.148776,2H+KT+VIH,2,0,42 m²,2023,959 €/kk 
Paasikivenkatu 4-6,60.18710249999999,24.9119121,"2h, k, kph, p",2,0,39 m²,1931,2 814 €/kk 
Pieni Roobertinkatu 13,60.16424910000001,24.9447095,1H+KPH,1,0,18 m²,1891,1 300 €/kk 
Kivipadontie 6h B,60.233337,24.948913,3h+kt+s,3,1,62 m²,2023,1 295 €/kk 
Näyttelijäntie 24 B,60.2315822,24.8923989,1h+kt,1,0,25 m²,1959,729 €/kk 
Kämnerintie 3,60.27732599999999,25.0252609,3H+K,3,0,81 m²,1978,1 259 €/kk 
Ristiretkeläistenkatu 17A,60.22493129999999,24.9866619,1H,1,0,22 m²,2020,699 €/kk 
BULEVARDI 32 B,60.1632785,24.9345751,2H+K,2,0,"49,7 m²",1937,1 485 €/kk 
Meritullinkatu 17 A,60.1730676,24.9584701,2h+kk+kph+alkovi,2,0,48 m²,1936,1 010 €/kk 
Von Daehnin katu 11,60.2311509,25.0444668,2H+KK,2,0,"45,5 m²",2008,"937,50 €/kk "
